file,actual_age,actual_classification,predicted_classification,result
blogs/30s/1232458.female.38.indUnk.Cancer.xml,38,Adult,/teens,false_positive
blogs/30s/3528826.male.37.Government.Scorpio.xml,37,Adult,/teens,false_positive
blogs/30s/3688875.female.34.indUnk.Leo.xml,34,Adult,/teens,false_positive
blogs/30s/4063217.female.33.Law.Leo.xml,33,Adult,/young_adults,true_negative
blogs/30s/4076603.male.36.Technology.Capricorn.xml,36,Adult,/young_adults,true_negative
blogs/30s/2038371.male.36.Fashion.Gemini.xml,36,Adult,/teens,false_positive
blogs/30s/3426442.female.34.indUnk.Aries.xml,34,Adult,/teens,false_positive
blogs/30s/4081644.male.33.Technology.Taurus.xml,33,Adult,/adults,true_negative
blogs/30s/3676415.male.39.Technology.Sagittarius.xml,39,Adult,/teens,false_positive
blogs/30s/3878670.male.34.indUnk.Taurus.xml,34,Adult,/adults,true_negative
blogs/30s/4293578.female.34.Manufacturing.Libra.xml,34,Adult,/teens,false_positive
blogs/30s/3785395.female.36.Education.Taurus.xml,36,Adult,/teens,false_positive
blogs/30s/4281539.male.38.Telecommunications.Cancer.xml,38,Adult,/young_adults,true_negative
blogs/30s/3921071.female.33.Science.Aquarius.xml,33,Adult,/teens,false_positive
blogs/30s/4071639.female.33.indUnk.Taurus.xml,33,Adult,/adults,true_negative
blogs/30s/4200930.male.38.Technology.Virgo.xml,38,Adult,/teens,false_positive
blogs/30s/17944.female.39.indUnk.Sagittarius.xml,39,Adult,/teens,false_positive
blogs/30s/3810906.male.33.indUnk.Virgo.xml,33,Adult,/adults,true_negative
blogs/30s/4223104.female.34.Publishing.Aquarius.xml,34,Adult,/teens,false_positive
blogs/30s/2478147.male.37.Internet.Cancer.xml,37,Adult,/adults,true_negative
blogs/30s/3430332.male.33.indUnk.Sagittarius.xml,33,Adult,/teens,false_positive
blogs/30s/3947756.female.33.indUnk.Leo.xml,33,Adult,/teens,false_positive
blogs/30s/1672374.female.37.Arts.Scorpio.xml,37,Adult,/teens,false_positive
blogs/30s/4022877.male.37.indUnk.Capricorn.xml,37,Adult,/teens,false_positive
blogs/30s/3343042.female.38.indUnk.Taurus.xml,38,Adult,/teens,false_positive
blogs/30s/2230722.male.34.Education.Aries.xml,34,Adult,/teens,false_positive
blogs/30s/3671889.male.37.Technology.Taurus.xml,37,Adult,/adults,true_negative
blogs/30s/3846924.female.34.indUnk.Aquarius.xml,34,Adult,/teens,false_positive
blogs/30s/3463195.female.37.Internet.Virgo.xml,37,Adult,/teens,false_positive
blogs/30s/3746276.male.34.indUnk.Leo.xml,34,Adult,/adults,true_negative
blogs/40s/4044578.male.41.Advertising.Capricorn.xml,41,Adult,/young_adults,true_negative
blogs/40s/1240631.male.41.Communications-Media.Libra.xml,41,Adult,/adults,true_negative
blogs/40s/594590.male.43.Religion.Libra.xml,43,Adult,/teens,false_positive
blogs/40s/3977718.female.43.indUnk.Libra.xml,43,Adult,/teens,false_positive
blogs/40s/3840766.female.48.indUnk.Libra.xml,48,Adult,/teens,false_positive
blogs/40s/3592107.female.48.Student.Taurus.xml,48,Adult,/teens,false_positive
blogs/40s/4066493.male.42.Publishing.Leo.xml,42,Adult,/young_adults,true_negative
blogs/40s/4260283.male.42.indUnk.Libra.xml,42,Adult,/teens,false_positive
blogs/40s/3617762.male.48.Telecommunications.Sagittarius.xml,48,Adult,/adults,true_negative
blogs/40s/3832197.female.45.Education.Sagittarius.xml,45,Adult,/adults,true_negative
blogs/40s/2268074.male.47.BusinessServices.Leo.xml,47,Adult,/adults,true_negative
blogs/40s/3682865.male.48.Marketing.Scorpio.xml,48,Adult,/adults,true_negative
blogs/40s/3333514.male.42.Publishing.Pisces.xml,42,Adult,/teens,false_positive
blogs/40s/3790367.male.44.indUnk.Aquarius.xml,44,Adult,/teens,false_positive
blogs/40s/3904162.female.45.indUnk.Sagittarius.xml,45,Adult,/teens,false_positive
blogs/40s/3859798.female.43.indUnk.Pisces.xml,43,Adult,/teens,false_positive
blogs/40s/4113083.male.45.Consulting.Pisces.xml,45,Adult,/young_adults,true_negative
blogs/40s/4196854.female.41.indUnk.Scorpio.xml,41,Adult,/teens,false_positive
blogs/40s/3491506.female.43.indUnk.Scorpio.xml,43,Adult,/teens,false_positive
blogs/40s/3160507.female.47.indUnk.Leo.xml,47,Adult,/teens,false_positive
blogs/40s/4065562.male.46.Engineering.Taurus.xml,46,Adult,/teens,false_positive
blogs/40s/4044345.male.40.Biotech.Aquarius.xml,40,Adult,/teens,false_positive
blogs/40s/3846857.female.48.indUnk.Libra.xml,48,Adult,/teens,false_positive
blogs/40s/3588721.male.43.Government.Capricorn.xml,43,Adult,/teens,false_positive
blogs/40s/3400405.female.40.indUnk.Leo.xml,40,Adult,/teens,false_positive
blogs/40s/4235139.female.40.Agriculture.Taurus.xml,40,Adult,/teens,false_positive
blogs/40s/3831004.female.48.indUnk.Libra.xml,48,Adult,/teens,false_positive
blogs/40s/4293521.female.43.Student.Aquarius.xml,43,Adult,/teens,false_positive
blogs/40s/4015069.female.42.Accounting.Aries.xml,42,Adult,/adults,true_negative
blogs/40s/3794613.female.44.Tourism.Libra.xml,44,Adult,/teens,false_positive
